Team IDs,Team Names,Team Registry IDs,Name,Type,Venue,Date,Start Time,End Time,Timezone,Status,Comments
102692,GUERRIERS - 13U - B - Masculin - HULL,202526200001855,,,Parc Moussette,2025-05-27,18:30,20:00,America/Toronto,Active,
105130,GLADIATEURS - 11U - B - Masculin - HULL,202526200002495,,,Parc Jolicoeur,2025-05-27,18:30,20:00,America/Toronto,Active,
102695,GUERRIERS - 9U - B - Masculin - HULL,202526200001857,,,Parc Fontaine,2025-05-27,18:30,20:00,America/Toronto,Active,
102696,GUERRIERS - 11U - B - Masculin - HULL,202526200001853,,,Parc St-Jean-De-Bosco - Parc St-Jean-Bosco,2025-05-27,18:30,20:00,America/Toronto,Active,
102691,ROYAUX - 9U - A - Masculin - HULL,202526200001856,,,Parc Fontaine,2025-05-28,18:30,20:00,America/Toronto,Active,
102693,ROYAUX - 13U - A - Masculin - HULL,202526200001854,,,Parc Moussette,2025-05-28,18:30,20:00,America/Toronto,Active,
102695,GUERRIERS - 9U - B - Masculin - HULL,202526200001857,,,Parc Fontaine,2025-05-29,18:30,20:00,America/Toronto,Active,
102694,ROYAUX - 11U - A - Masculin - HULL,202526200001852,,,Parc Ste-Bernadette,2025-05-29,18:30,20:00,America/Toronto,Active,
105130,GLADIATEURS - 11U - B - Masculin - HULL,202526200002495,,,Parc Jolicoeur,2025-05-29,18:30,20:00,America/Toronto,Active,
102696,GUERRIERS - 11U - B - Masculin - HULL,202526200001853,,,Parc St-Jean-De-Bosco - Parc St-Jean-Bosco,2025-05-29,18:30,20:00,America/Toronto,Active,
102692,GUERRIERS - 13U - B - Masculin - HULL,202526200001855,,,Parc Moussette,2025-05-29,18:30,20:00,America/Toronto,Active,
102487,RIVERAINS BLEUS - 15U - A - Masculin - PORTAGES,202526000001762,,,Parc St-Jean-De-Bosco - Parc St-Jean-Bosco,2025-05-30,18:15,20:15,America/Toronto,Active,
102694,ROYAUX - 11U - A - Masculin - HULL,202526200001852,,,Parc Ste-Bernadette,2025-06-01,13:30,15:30,America/Toronto,Active,
102693,ROYAUX - 13U - A - Masculin - HULL,202526200001854,,,Parc Ste-Bernadette,2025-06-01,15:30,17:30,America/Toronto,Active,
"105130,102696","GLADIATEURS - 11U - B - Masculin - HULL,GUERRIERS - 11U - B - Masculin - HULL","202526200002495,202526200001853",,,Parc Ste-Bernadette,2025-06-02,18:15,20:15,America/Toronto,Active,Pratique / mini match intra-association
102692,GUERRIERS - 13U - B - Masculin - HULL,202526200001855,,,Parc Moussette,2025-06-02,18:15,20:15,America/Toronto,Active,
102695,GUERRIERS - 9U - B - Masculin - HULL,202526200001857,,,Parc St-Jean-De-Bosco - Parc St-Jean-Bosco,2025-06-03,18:15,20:15,America/Toronto,Active,
102696,GUERRIERS - 11U - B - Masculin - HULL,202526200001853,,,Parc Fontaine,2025-06-04,18:15,20:15,America/Toronto,Active,
102497,DODGERS - 15U - B - Masculin - PORTAGES,202526000001778,,,Parc Moussette,2025-06-04,18:15,20:15,America/Toronto,Active,
,,,,,Parc St-Jean-De-Bosco - Parc St-Jean-Bosco,2025-06-04,18:15,20:15,America/Toronto,Active,Pour Bruno Gagnon. Pratique avec le CTR.
102496,PHILLIES - 15U - B - Masculin - PORTAGES,202526000001779,,,Parc Moussette,2025-06-04,20:15,22:15,America/Toronto,Active,
102695,GUERRIERS - 9U - B - Masculin - HULL,202526200001857,,,Parc St-Jean-De-Bosco - Parc St-Jean-Bosco,2025-06-05,18:15,20:15,America/Toronto,Active,
102692,GUERRIERS - 13U - B - Masculin - HULL,202526200001855,,,Parc Moussette,2025-06-05,18:15,20:15,America/Toronto,Active,
105130,GLADIATEURS - 11U - B - Masculin - HULL,202526200002495,,,Parc Fontaine,2025-06-05,18:15,20:15,America/Toronto,Active,
102501,PHILLIES - 18U - B - Masculin - PORTAGES,202526000001775,,,Parc Moussette,2025-06-06,18:15,20:15,America/Toronto,Active,
102487,RIVERAINS BLEUS - 15U - A - Masculin - PORTAGES,202526000001762,,,Parc St-Jean-De-Bosco - Parc St-Jean-Bosco,2025-06-06,18:15,20:15,America/Toronto,Active,
102693,ROYAUX - 13U - A - Masculin - HULL,202526200001854,,,Parc Ste-Bernadette,2025-06-08,13:00,16:00,America/Toronto,Active,
102693,ROYAUX - 13U - A - Masculin - HULL,202526200001854,,,Parc Moussette,2025-06-09,18:15,20:15,America/Toronto,Active,
102692,GUERRIERS - 13U - B - Masculin - HULL,202526200001855,,,Parc St-Jean-De-Bosco - Parc St-Jean-Bosco,2025-06-11,18:15,20:15,America/Toronto,Active,
102495,METS - 15U - B - Masculin - PORTAGES,202526000001780,,,Parc Moussette,2025-06-11,18:15,20:15,America/Toronto,Active,
105130,GLADIATEURS - 11U - B - Masculin - HULL,202526200002495,,,Parc Moussette,2025-06-12,18:15,20:15,America/Toronto,Active,
102487,RIVERAINS BLEUS - 15U - A - Masculin - PORTAGES,202526000001762,,,Parc St-Jean-De-Bosco - Parc St-Jean-Bosco,2025-06-13,18:15,20:15,America/Toronto,Active,
102497,DODGERS - 15U - B - Masculin - PORTAGES,202526000001778,,,Parc Moussette,2025-06-15,18:15,20:15,America/Toronto,Active,
102693,ROYAUX - 13U - A - Masculin - HULL,202526200001854,,,Parc Moussette,2025-06-16,18:15,20:15,America/Toronto,Active,
102510,RIVERAINS ROUGES - 15U - A - Masculin - PORTAGES,202526000001763,,,Parc Moussette,2025-06-18,18:15,20:15,America/Toronto,Active,
102692,GUERRIERS - 13U - B - Masculin - HULL,202526200001855,,,Parc St-Jean-De-Bosco - Parc St-Jean-Bosco,2025-06-18,18:15,20:15,America/Toronto,Active,
102691,ROYAUX - 9U - A - Masculin - HULL,202526200001856,,,Parc Ste-Bernadette,2025-06-19,18:15,20:15,America/Toronto,Active,
102481,RIVERAINS BLEUS - 18U - A - Masculin - PORTAGES,202526000001760,,,Parc Moussette,2025-06-19,18:15,20:15,America/Toronto,Active,
"102691,102696","ROYAUX - 9U - A - Masculin - HULL,GUERRIERS - 11U - B - Masculin - HULL","202526200001856,202526200001853",,,Parc St-Jean-De-Bosco - Parc St-Jean-Bosco,2025-07-24,18:15,20:15,America/Toronto,Active,
